timestamp,day_of_week,applied_torque_nm,screwdriving_speed_rpm,motor_current_a,press_pressure_bar,operator_cycle_time_s,relative_humidity_pct,shop_floor_temp_c,line_vibration_mm_s,operator_experience_yrs,shift_change,material_batch,is_scrap
2025-02-28 21:00:00,2,1.86,814.1,2.44,5.41,22.17,27.1,24.8,1.52,13,1,13,1
2025-01-16 10:00:00,1,1.61,871.9,2.2,5.23,20.07,69.6,24.8,0.83,10,1,4,0
2025-01-10 19:00:00,2,1.94,682.2,2.69,5.79,18.97,43.2,23.3,2.29,7,0,39,0
2025-02-16 09:00:00,4,1.97,777.2,2.8,6.04,16.7,52.7,26.3,2.18,1,1,43,0
2025-01-16 12:00:00,1,1.45,866.3,2.17,5.62,18.04,32.3,25.3,1.05,9,1,17,0
2025-01-12 10:00:00,4,1.57,805.2,2.28,4.63,22.01,41.2,25.7,1.34,0,0,44,1
2025-02-18 10:00:00,6,1.82,917.4,2.54,5.42,14.58,49.9,21.4,1.27,4,0,42,1
2025-01-04 06:00:00,3,1.74,673.9,2.14,5.06,15.44,36.6,24.4,0.56,6,0,16,1
2025-02-16 15:00:00,4,1.8,664.8,2.53,4.72,18.42,40.8,23.7,1.66,1,1,15,0
2025-02-14 09:00:00,2,1.65,861.6,2.65,4.63,24.43,33.0,22.0,3.39,1,1,1,0
2025-02-11 21:00:00,6,1.96,869.3,2.92,5.14,18.4,29.0,24.0,3.7,14,1,21,1
2025-01-06 19:00:00,5,1.94,784.5,2.55,5.41,22.84,50.2,27.6,1.52,7,1,45,1
2025-01-03 07:00:00,2,1.81,832.0,2.56,5.69,20.59,72.6,25.3,1.97,1,0,21,0
2025-01-23 07:00:00,1,2.0,859.6,2.48,5.34,22.48,55.2,23.7,0.93,5,0,31,0
2025-01-11 12:00:00,3,1.88,734.9,2.94,5.29,21.08,28.5,23.0,2.41,9,0,9,1
2025-02-21 17:00:00,2,1.64,743.5,2.42,4.9,16.89,55.6,23.0,1.11,14,1,12,1
2025-01-15 16:00:00,0,1.87,815.2,2.58,5.11,19.7,34.7,24.4,1.17,7,1,4,0
2025-02-06 09:00:00,1,1.63,872.3,2.23,4.25,15.49,55.5,23.9,1.21,2,0,48,0
2025-03-01 08:00:00,3,1.96,706.7,2.45,5.28,20.71,31.7,26.8,1.18,7,1,46,1
2025-01-16 22:00:00,1,1.79,784.2,2.79,5.22,20.69,43.5,22.9,3.85,11,0,18,0
2025-01-22 18:00:00,0,1.77,780.5,2.43,5.96,22.7,53.9,26.6,1.38,2,0,44,0
2025-01-05 18:00:00,4,1.68,833.4,2.23,4.98,21.44,30.1,22.8,1.56,10,0,18,0
2025-02-10 18:00:00,5,2.02,799.3,2.63,5.6,19.08,59.6,26.7,1.09,5,0,39,0
2025-01-26 20:00:00,4,1.77,756.3,2.56,4.76,19.71,39.7,29.5,1.58,15,1,38,1
2025-01-18 15:00:00,3,1.72,899.9,2.1,5.85,17.38,42.6,29.7,0.96,7,0,36,0
2025-02-21 07:00:00,2,1.74,756.9,2.38,5.72,22.27,61.0,27.1,1.87,9,1,27,0
2025-02-16 08:00:00,4,1.9,776.6,2.72,5.57,15.84,40.7,29.4,1.86,11,0,35,1
2025-01-02 10:00:00,1,1.87,672.7,2.56,5.03,15.41,25.9,21.6,1.5,12,0,42,1
2025-02-21 20:00:00,2,1.87,742.9,2.39,4.89,18.92,29.2,21.7,1.18,0,1,24,0
2025-02-22 07:00:00,3,1.88,841.3,2.62,4.82,20.77,69.5,24.4,1.66,5,1,34,0
2025-02-07 07:00:00,2,2.18,825.6,2.65,4.51,20.8,57.7,25.6,1.06,0,1,12,0
2025-01-28 22:00:00,6,1.73,848.0,2.38,5.23,22.06,54.7,23.9,1.52,1,0,13,1
